,amplitude,flux_percentile_ratio_mid20,flux_percentile_ratio_mid35,flux_percentile_ratio_mid50,flux_percentile_ratio_mid65,flux_percentile_ratio_mid80,percent_difference_flux_percentile,percent_beyond_1_std,skew,std,stetson_j,stetson_k,weighted_average,median_absolute_deviation,period_fast,KIC,morph,period,BP-RP,Gmag,RUWE,Class
159,0.08575373888015747,0.11163261982268616,0.20329343618654547,0.3198339617596601,0.47866116324099217,0.7058379030733112,0.03456126691792371,0.1535601058377631,-0.8463201539950361,0.015052023242607697,-0.9879217777434671,0.7917075073942849,0.9991829384798496,0.00599515438079834,8.9133618854326,3654950,0.26,8.1347246,1.135213,15.873255,0.998,sp
160,0.06578189134597778,0.08516801966662978,0.15844258605995235,0.25066319103237544,0.39924611458057013,0.6691141739972573,0.004737454051325936,0.030337534013933652,-6.8641148962074245,0.010885256750499346,-0.9912434588053505,0.38646139409324204,0.9982669416736438,0.0006352663040161133,2.1523590511341206,3655326,0.11,15.0665034,0.769862,14.131076,0.956,np
161,0.10935637354850769,0.1372315426724434,0.25177728662615695,0.3808476474755096,0.5515883997349792,0.7808709388086233,0.09037562592915646,0.317274222545232,-0.296412315404379,0.029302971346012445,-0.9527476829397342,0.9856029871956047,0.9978243719742463,0.018670618534088135,3.573749771362577,3656322,0.59,3.6636688,1.125901,13.07708,2.571,sp
162,0.09988835453987122,0.13160929598059193,0.24083366537149106,0.3639825113280081,0.5142481317050946,0.7304021228639538,0.07570692723001468,0.2774186077928093,-0.499480279674607,0.024966898824507276,-0.9655941255259071,0.9535975033563323,0.9981618377757914,0.014952421188354492,0.4481306212933815,3659940,0.55,0.8962698,1.046941,15.186917,1.058,sp
163,0.8705579936504364,0.11506023858870926,0.20983116462920903,0.31847226563381903,0.43415894506875735,0.7195093356446937,0.10492335164238965,0.24864601618358523,-0.8001801874279519,0.03330665364841475,-0.9198585334612449,0.9182435797108113,0.9924074765112262,0.017132282257080078,0.46968560270350973,3662635,0.57,0.9393755,0.988738,14.964883,8.883,sp
164,0.41119688749313354,0.07874086708410068,0.15174798693948047,0.29108314138132974,0.4759140053712578,0.662378698644816,0.3800188383257604,0.1673760084110071,-1.5442008282587936,0.11033953920026046,-0.3100983915405008,0.8682150623875301,0.9492457927325308,0.03777968883514404,0.14703921917937726,3730067,0.62,0.2940786,1.701924,14.617563,1.048,ev
165,0.8929512165486813,0.2835369901702881,0.48592589269018466,0.6710362011022563,0.8222613096880528,0.9343429160613609,0.20905483883964196,0.47933137218851507,-0.11485209490952521,0.07872582359613736,-0.4298597209171364,1.113826721183373,0.9907867195120573,0.075053870677948,0.19809344023458517,3732732,0.94,0.3961872,0.835319,13.554012,1.236,ev
166,0.4477463364601135,0.13743466216518024,0.24677179396299734,0.37051491300382006,0.523553088474078,0.7393614442428775,0.01251033282317414,0.22829502598470502,20.016629243571295,0.0050541979785671725,-0.9988082356931631,0.8259689052336712,0.9997355145406029,0.002516329288482666,10.295229493834196,3734868,0.23,10.328036,1.030632,15.636786,1.363,sp
167,0.1269645392894745,0.1402407458944975,0.24125639811358154,0.38773122859271675,0.5871557655234876,0.7154165248612638,0.17535084253342864,0.3451002022430594,-0.9255834169003057,0.05376578253711605,-0.7651076469512794,0.993726999232155,0.9851164125679119,0.034111976623535156,0.9831751108675674,3735597,0.67,1.9663556,0.575053,12.12944,0.988,ev
168,0.3893880099058151,0.08391870066633438,0.15293946623182467,0.23527537099148507,0.3505058696174322,0.5526366149027184,0.020047818916554425,0.032128620079727555,-7.573452324023903,0.05137319495726779,-0.9013595578348963,0.3009615369977528,0.9912168245893938,0.002538919448852539,2.3321097789999334,3735629,0.13,9.3283461,1.292572,16.068787,1.02,np
169,1.2634057998657227,0.191318396374478,0.35155469454338467,0.5206505146514552,0.6756486058587818,0.8143899577492626,0.4404084489184391,0.4241529728718807,-0.5625668315309253,0.14125823931097214,0.3967833227298264,1.0432358025911395,0.9528099907363112,0.10057783126831055,0.13680733969002867,3743834,0.76,0.2736148,1.218328,14.240697,0.969,ev
170,0.6467494666576385,0.12314876615440384,0.2342186594364863,0.3617415696087017,0.48421349727373014,0.7249340116972836,0.4097555328341242,0.22389418773343212,-1.1156351924198569,0.11785422127612025,-0.1359201466353215,0.9484586238823817,0.952698755198116,0.06159329414367676,0.15211648092943053,3745184,0.67,0.3042328,1.325299,15.288241,1.032,ev
171,0.013046801090240479,0.13855776959393837,0.251540221281936,0.38619391564579836,0.552748849858878,0.7761090055513459,0.004619936864292996,0.30325595648509923,-0.2285027045442464,0.0015305851805253383,-0.9998828373584487,0.9770423193761852,0.9999570534711372,0.0009680986404418945,1.0658458401170257,3749508,0.52,1.0657337,0.796686,13.134847,1.192,sp
173,0.1898747980594635,0.04958532846614306,0.09202773496603009,0.14669218284275412,0.23602505936435708,0.46907846804538567,0.003328061931935172,0.001640388289557481,-31.87212498043882,0.009186098946469037,-0.9960900172497945,0.12365721554043593,0.9998490124459855,0.00026345252990722656,4.675451202653414,3757590,0.0,135.5860698,0.85451,13.698067,1.053,np
174,0.08409726619720459,0.14812777512377961,0.26739719667148254,0.39540040184489383,0.5507872427208236,0.7612829738538289,0.0032632022198795275,0.007359070232679988,-12.822858382237914,0.00748350429539672,-0.9942595113947813,0.2524663175887544,0.9994578275127112,0.0006972551345825195,6.085550974682966,3757778,0.04,36.5143967,1.022985,15.435904,1.018,np
175,0.40247637033462524,0.29383887975005996,0.4982714143995251,0.6783674833368479,0.8278098270983436,0.9420403820209182,0.12960263390078183,0.47105194217533164,0.03013865860962915,0.04981434679897526,-0.8593390581316166,1.1142527420061,0.9981135911402871,0.04770463705062866,0.21570931052828188,3765708,0.95,0.4314189,0.770109,15.155761,0.999,ev
176,0.014896631240844727,0.1458046612100025,0.2621481858288345,0.38772339672512207,0.5422731338233828,0.7547288652954343,0.0010382813329357717,0.24036513113456973,8.385994933053688,0.00039045310013852136,-0.9999923609871735,0.8804038620131379,1.0000024127114366,0.00021857023239135742,9.681132642505062,3765771,0.17,5.5677174,0.803964,14.247484,0.993,np
