tic__tess_id,tic__ra,tic__dec,tic__Tmag,bjd0,period,morph_coeff,
0213046690, 75.367512, -4.201918, 11.96, 1438.139144, 0.2258437, 0.744,
0318210930, 142.544954, 53.649827, 8.88, 1870.588155, 0.2277127, 0.792,
0318210930, 142.544954, 53.649827, 8.88, 1870.587142, 0.2277167, 0.921,
0024450633, 82.356372, -32.817750, 13.72, 1438.129739, 0.2286700, 0.617,
0152147549, 169.881210, -39.846740, 10.34, 1570.810460, 0.2294902, 0.746,
0318966048, 42.728411, 1.399220, 11.25, 1411.064262, 0.2306676, 0.775,
0021174723, 36.400648, 28.097470, 13.01, 1790.751311, 0.2318808, 0.557,
0219203188, 92.640244, -48.740379, 13.01, 1438.172154, 0.2319362, 0.604,
0231810776, 85.674115, -53.276003, 12.01, 1438.150703, 0.2327289, 0.704,
0240706234, 10.026116, 50.237643, 9.95, 1764.761030, 0.2336936, 0.726,
0061285257, 160.213474, 15.192700, 16.52, 1900.146210, 0.2345175, 0.547,
2046417955, 340.213276, 54.630827, 15.05, 1738.727660, 0.2358838, 0.522,
0154067797, 207.484319, 66.474449, 9.11, 1683.433849, 0.2365802, 0.757,
0048184317, 222.727898, -33.207909, 15.55, 1600.436204, 0.2379106, 0.400,
0279615979, 106.343801, -59.726493, 12.57, 1544.610916, 0.2407307, 0.777,
0233079659, 271.638520, 64.449921, 10.22, 1683.691678, 0.2418013, 0.823,
0320323992, 246.664938, 74.504833, 15.73, 1683.565675, 0.2428955, 0.743,
0009172417, 62.057489, -5.756600, 11.85, 1438.039329, 0.2451915, 0.655,
0278829112, 336.330537, -36.490794, 11.18, 2062.138205, 0.2457785, 0.792,
0207091008, 23.984391, -52.477314, 11.03, 1354.327065, 0.2460469, 0.742,
0118826280, 11.125750, -36.108117, 9.06, 1354.246269, 0.2465250, 0.720,
0088118399, 193.985851, 14.839787, 10.34, 1931.149759, 0.2478252, 0.892,
0309659126, 79.506756, -60.689949, 10.11, 1354.403460, 0.2482701, 0.772,
0140627676, 70.692674, 72.978300, 8.10, 1816.479202, 0.2491776, 0.766,
0396339551, 41.298257, 72.174195, 11.85, 1790.867347, 0.2515667, 0.731,
0357111084, 107.286336, 57.692340, 12.57, 1842.771544, 0.2528995, 0.714,
0408256672, 70.567444, -25.825355, 11.96, 1438.113327, 0.2548968, 0.727,
0149622009, 202.172135, 23.580261, 9.08, 1930.469541, 0.2552290, 0.733,
0252949892, 106.945679, 52.536259, 16.53, 1842.587262, 0.2553831, 0.482,
0452406965, 137.484097, -76.981706, 12.12, 1570.579222, 0.2555320, 0.716,
