col1,TIC,period,morph,RA,DEC,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff,b_Teff_x,B_Teff_xa,logg,b_logg_x,B_logg_xa,[Fe/H],b_[Fe/H]_x,B_[Fe/H]_xa,Dist,b_Dist_x,B_Dist_xa,A0,b_A0_x,B_A0_xa,AG,b_AG_x,B_AG_xa,E(BP-RP),b_E(BP-RP)_x,B_E(BP-RP)_xa,Lib,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,RADEcorJ2000,angDist
3218,172224309,4.1737535,0.794,98.266278,35.208226,Gaia DR3 941798126564417024,98.26630419944,35.20820792221,0.0,0.0,115.0,1636148068921376768,941798126564417024,1473541100,0.0136,0.0113,2.8201,0.0147,191.9245,6.319,4.824,0.016,-4.081,0.012,-0.2293,0.2874,-0.1109,0.1869,-0.1349,0.1204,-0.5045,0.2452,0.0399,-0.0858,202,202,199,3,-1.9331,300.69,0.046,2.3116,31,true,1.48,,,,,,,,23,15,0.022383,24,0.02437,1.353,0,0,0.902,0,202,2056817.8408,6485.94,317.12,9.904377,0.004395,24,938017.0,9095.54,103.129,10.408015,0.010891,24,1594740.0,14058.8,113.434,9.24117,0.010291,1.231,0,0,0,0,0,1.166845,0.503638,0.663207,42.37,9.88,1,12,5,10,108.46,43.223,0.0,971.823,85.39,4750.0,3.0,-0.25,222,,,,8.945303,0.016201,8,,VARIABLE,0.0,0.0,0.999853,5732.8,5721.8,5744.2,3.4056,3.4013,3.4103,-0.1603,-0.1609,-0.1595,348.915,347.159,350.5831,0.7531,0.7444,0.7614,0.6112,0.6041,0.6182,0.3273,0.3234,0.3312,PHOENIX,98.26627795802,35.20822606028,0.255575,0.192295,-0.0999,0.100867
3219,333247721,4.1739304,0.466,99.845303,-16.12449,Gaia DR3 2947014831175698432,99.84527755307,-16.12446908694,0.0,0.0,19.0,1636148068921376768,2947014831175698432,1420819292,0.0173,0.023,3.7863,0.0237,160.0502,7.031,-5.302,0.022,4.617,0.025,0.2277,-0.1406,-0.1001,0.052,-0.3723,0.0972,-0.4468,-0.0913,-0.0403,0.185,236,236,234,2,-2.925,651.73,0.133,14.651,31,true,1.714,,,,,,,,27,16,0.037535,27,0.05806,5.93,0,0,0.865,1,233,7693275.29336,3631.08,2118.73,8.472089,0.002803,25,5367590.0,5868.5,914.644,8.514093,0.003032,26,3599280.0,2911.52,1236.22,8.357355,0.00388,1.166,0,0,0,0,0,0.156738,0.042005,0.114734,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,1.0E-6,10503.0,10459.9,10560.1,4.0546,4.0248,4.0903,-0.915,-1.3515,-0.6565,276.5222,271.9898,280.2522,0.4344,0.4261,0.446,0.4153,0.4073,0.4265,0.2217,0.2174,0.2277,A,99.84530208106,-16.1244896087,0.356204,0.412321,0.1718,0.115815
3220,101462,4.1739815,0.166,222.057654,-24.613206,Gaia DR3 6229792617661028352,222.05755868439,-24.61331404012,0.0,0.0,65.0,1636148068921376768,6229792617661028352,1743725891,0.0721,0.0404,9.443,0.0372,253.7338,30.973,-19.381,0.238,-24.16,0.11,0.7307,-0.2473,0.6479,0.6213,-0.0995,0.6295,0.6477,-0.2701,-0.1864,0.9523,116,116,115,1,8.9147,664.59,0.201,29.398,95,false,,1.5061,0.0109,-0.148,-0.366,0.152,-0.379,-0.371,13,9,0.364237,14,0.154,102.5,7,0,1.657,0,85,1429905.55621,2910.79,491.244,10.299098,0.003532,7,1539050.0,6623.91,232.349,9.870407,0.005443,7,1999110.0,12032.7,166.14,8.995805,0.007549,2.474,0,7,0,7,0,0.874602,-0.428691,1.303293,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999987,,,,,,,,,,,,,,,,,,,,,,,222.05765342984,-24.61320666045,3.76873,1.728612,0.9518,0.498594
3221,27312189,4.1779073,0.259,294.864505,52.647452,Gaia DR3 2136577733902648064,294.8645141723,52.64747610662,0.0,0.0,127.0,1636148068921376768,2136577733902648064,817197036,0.0864,0.0845,2.9362,0.0899,32.659,4.983,0.438,0.116,4.964,0.111,-0.0785,-0.1079,-0.0232,-0.03,0.1877,-0.0472,-0.1571,-0.0981,-5.0E-4,-0.0677,376,376,376,0,103.1447,64685.0,1.129,2007.3,31,false,1.568,,,,,,,,43,27,0.163608,45,0.02198,158.6,0,0,6.615,0,385,550644.07629,266.945,2062.76,11.33519,0.002805,44,303725.0,327.963,926.096,11.63234,0.003026,43,356554.0,234.058,1523.36,10.867581,0.003846,1.199,0,0,0,0,0,0.764759,0.297151,0.467608,13.88,5.44,1,19,2,18,47.932,36.177,0.0,912.837,58.15,5750.0,4.5,0.0,444,22.2655,9.7671,16,10.689127,0.00732,16,,NOT_AVAILABLE,0.0,0.0,0.999527,5905.0,5854.4,5972.3,3.7921,3.7706,3.8279,-0.4669,-0.5781,-0.372,478.8378,473.0699,484.388,0.0317,0.011,0.0607,0.0268,0.0093,0.0514,0.0145,0.005,0.0277,PHOENIX,294.86451096649,52.64745404531,1.865555,1.791659,-0.0636,0.089066
3223,141268467,4.1810902,0.337,82.513278,-76.248708,Gaia DR3 4648210527690481152,82.51392820628,-76.24867596723,0.0,0.0,103.0,1636148068921376768,4648210527690481152,1773830076,0.0154,0.0139,9.6864,0.0146,661.6653,35.796,35.043,0.021,7.303,0.019,-0.0476,0.114,0.012,-0.1678,-0.0496,-0.1498,-0.1512,0.1693,-0.1285,-0.1341,335,335,331,4,-2.4108,597.09,0.106,7.6927,31,true,1.583,,,,,,,,38,26,0.029827,41,0.03651,34.26,0,0,0.906,0,347,1.083831623475E7,3356.37,3229.18,8.099962,0.002776,39,6124510.0,6161.11,994.059,8.370864,0.002996,37,6856590.0,4527.4,1514.47,7.657624,0.003847,1.198,0,0,0,0,0,0.71324,0.270902,0.442338,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,1.0E-6,6006.7,6005.4,6008.3,4.0204,4.0191,4.0215,-0.292,-0.3001,-0.2847,103.0645,102.901,103.2495,6.0E-4,1.0E-4,0.0016,5.0E-4,1.0E-4,0.0014,3.0E-4,0.0,8.0E-4,MARCS,82.51327300627,-76.24870842536,0.33373,0.305198,-0.1186,0.568238
3224,124106762,4.1869104,0.358,103.90634,-8.100017,Gaia DR3 3051069179958852992,103.90633614076,-8.10001265472,0.0,0.0,135.0,1636148068921376768,3051069179958852992,956191211,0.0319,0.0319,0.3154,0.0371,8.4943,1.403,-0.999,0.038,0.985,0.037,-0.2971,0.1626,-0.239,0.2325,-0.1847,0.234,-0.3355,0.0036,-0.0523,-0.1797,258,0,256,2,1.4615,293.41,0.055,0.33998,31,false,1.397,,,,,,,,29,16,0.05909,36,0.03304,160.6,0,0,1.065,0,295,9386.64617,9.19137,1021.25,15.756091,0.002953,30,3358.03,12.505,268.534,16.52333,0.004912,27,8843.58,22.4261,394.343,14.881326,0.004676,1.3,0,0,0,0,0,1.642005,0.76724,0.874765,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999991,5671.5,5571.8,5724.6,3.7553,3.695,3.787,-0.9169,-0.9505,-0.8798,1510.0923,1451.9854,1597.836,2.0519,1.9824,2.0854,1.606,1.5482,1.6342,0.8857,0.8536,0.9012,MARCS,103.90634062482,-8.10001703466,0.61835,0.597263,-0.1988,0.02083
3225,198555959,4.1920513,0.266,238.048481,64.883468,Gaia DR3 1641186069856732800,238.04824547753,64.88363478911,0.0,0.0,19.0,1636148068921376768,1641186069856732800,1102980727,0.0137,0.0141,4.7252,0.0143,330.7296,43.787,-22.485,0.017,37.573,0.018,0.0242,-0.133,0.0562,0.2421,-0.0766,0.2339,0.0792,-0.0451,-0.2552,0.0965,343,343,340,3,-0.9089,1233.5,0.139,27.98,95,false,,1.5885,0.0039,-0.178,0.106,0.156,0.121,-0.082,39,26,0.025797,78,0.01559,108.2,0,0,0.964,0,568,1933536.22575,569.978,3392.3,9.971486,0.002774,68,1089980.0,739.049,1474.85,10.244991,0.002886,66,1217790.0,540.365,2253.65,9.533961,0.00381,1.194,0,0,0,0,0,0.71103,0.273505,0.437525,13.83,9.2,1,36,4,19,150.93,160.99,0.0,943.227,124.26,6000.0,3.5,0.0,333,16.8391,3.6619,15,9.361792,0.00604,25,,NOT_AVAILABLE,0.0,0.0,0.99885,5990.8,5986.8,5997.7,4.0955,4.0936,4.0972,-0.4098,-0.4172,-0.4021,210.5782,209.9797,211.1801,0.0034,9.0E-4,0.0077,0.0029,8.0E-4,0.0066,0.0015,4.0E-4,0.0036,MARCS,238.04848091412,64.88346779848,0.273084,0.282043,0.0731,0.700036
3226,103566595,4.1944503,0.844,68.377832,72.528607,Gaia DR3 500845452173512064,68.37827863742,72.52820286877,0.0,0.0,167.0,1636148068921376768,500845452173512064,1507789184,0.0134,0.0173,9.8596,0.0214,461.7699,95.478,30.055,0.015,-90.625,0.02,-0.1226,0.0815,-0.2147,0.0535,0.0023,0.0385,-0.2569,0.0335,0.1992,-0.126,438,438,429,9,-4.123,2488.0,0.188,61.222,31,false,1.666,,,,,,,,49,26,0.028448,54,0.007476,85.15,0,0,0.861,0,453,8.265150288934E7,27519.8,3003.35,5.89424,0.002779,51,5.33492E7,46702.1,1142.33,6.020723,0.002948,46,4.3379E7,75112.6,577.52,5.654696,0.004221,1.17,0,0,0,0,0,0.366026,0.126483,0.239543,12.58,5.13,1,23,0,16,767.83,156.8,0.0,996.445,56.66,7500.0,4.0,0.25,555,18.0465,0.4509,22,5.572216,0.005133,24,,NOT_AVAILABLE,0.0,0.0,0.999597,7494.6,7485.9,7504.6,3.6491,3.6465,3.6517,-0.0914,-0.1033,-0.08,101.6687,101.4047,101.9278,0.1037,0.0995,0.1087,0.0945,0.0908,0.0991,0.0504,0.0484,0.0529,A,68.37783371809,72.52860564465,0.246421,0.322107,-0.1277,1.532871
3227,272357134,4.1969492,0.497,119.479638,-73.473079,Gaia DR3 5215043092888960384,119.47963078164,-73.47312045837,0.0,0.0,156.0,1636148068921376768,5215043092888960384,1625610284,0.013,0.015,5.5029,0.0143,385.3721,9.277,-0.336,0.017,-9.271,0.021,-0.1596,-0.0282,0.153,-0.0535,0.2528,-0.0027,0.1304,0.1885,-0.0318,-0.2818,299,299,297,2,2.1858,768.94,0.114,14.223,31,true,1.589,,,,,,,,34,25,0.03088,40,0.005591,158.1,0,0,1.091,0,343,5146907.919,1534.76,3353.56,8.908501,0.002774,36,2934390.0,2460.95,1192.38,9.169746,0.002935,35,3209610.0,1895.63,1693.16,8.481764,0.003833,1.194,0,18,0,16,0,0.687983,0.261246,0.426737,15.83,5.02,1,13,4,12,155.55,63.004,0.0,872.828,43.17,6500.0,4.0,0.0,222,18.8396,1.6705,8,8.328115,0.011481,8,,NOT_AVAILABLE,0.0,0.0,1.0E-6,6202.9,6192.7,6212.3,3.8264,3.8236,3.8293,-0.2082,-0.2181,-0.1998,181.5235,181.0863,181.9677,0.0739,0.0685,0.0795,0.0636,0.0589,0.0685,0.0343,0.0317,0.0369,MARCS,119.47963603427,-73.47307925345,0.276163,0.334538,-0.2826,0.149433
3228,256368884,4.1991759,0.508,298.362676,60.867971,Gaia DR3 2237562963470789248,298.36274934346,60.86794405495,0.0,0.0,178.0,1636148068921376768,2237562963470789248,540020223,0.0379,0.0385,1.9804,0.0388,51.0281,8.62,6.538,0.052,-5.617,0.049,-0.0014,0.0541,0.1738,-0.0994,0.1658,-0.097,-0.1212,-0.0337,-0.0486,-0.0422,384,384,384,0,56.8356,11409.0,0.506,382.13,31,false,1.597,,,,,,,,43,27,0.072544,75,0.01888,177.7,0,0,3.662,1,561,931641.58701,187.373,4972.11,10.764245,0.002764,64,538377.0,340.322,1581.96,11.010826,0.002873,59,568284.0,195.266,2910.3,10.361483,0.003798,1.188,0,64,0,59,0,0.649343,0.246581,0.402762,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.99964,6326.2,6316.0,6337.1,3.8301,3.8203,3.8401,-0.3612,-0.3697,-0.3516,508.4858,500.0923,516.775,0.071,0.0653,0.0767,0.0615,0.0565,0.0665,0.0332,0.0305,0.0359,MARCS,298.36268965505,60.86796902155,0.822037,0.791146,-0.0329,0.161033
