,KIC,Porb,Class,PACF,hACF,P1min,P1max,P2min,P2max,h1min,h1max,h2min,h2max,Note
1361,8700506,43.798,np,83.778,0.269,,,,,,,,,a
1362,8700558,4.792,np,134.167,0.065,,,,,,,,,a
1363,8701327,8.509,np,3.739,0.164,,,,,,,,,a
1364,8703129,253.362,sp,81.98,1.011,,,,,,,,,
1365,8703528,0.4,ev,,,,,,,,,,,
1366,8711548,18.778,np,37.557,0.765,,,,,,,,,a
1367,8719419,12.625,pu,,,,,,,,,,,
1368,8719897,3.151,sp,3.126,0.781,3.104,3.112,,,0.09,0.227,,,
1369,8733497,76.82,sp,15.53,1.164,15.227,15.676,,,0.069,0.218,,,
1370,8736072,0.478,ev,,,,,,,,,,,
1371,8736245,5.069,sp,5.068,1.107,4.94,5.06,5.837,5.868,0.062,0.073,0.029,0.079,
1372,8738115,37.594,np,111.772,0.112,,,,,,,,,a
1373,8742270,397.395,np,41.868,0.032,,,,,,,,,a
1374,8746310,6.856,sp,8.5,1.084,8.325,8.722,,,0.054,0.055,,,
1375,8758161,0.998,ev,,,,,,,,,,,
1376,8760135,184.654,np,184.025,0.648,,,,,,,,,a
1377,8773948,33.47,np,34.962,0.155,,,,,,,,,a
1378,8780968,5.234,np,62.527,0.148,,,,,,,,,a
1379,8784288,3.655,sp,3.678,0.642,3.713,3.742,,,0.125,0.046,,,
1380,8801343,2.74,ev,,,,,,,,,,,
1381,8804824,0.457,ev,,,,,,,,,,,
1382,8822555,0.853,ev,,,,,,,,,,,
1383,8823397,1.507,ev,,,,,,,,,,,
1384,8823666,0.432,ev,,,,,,,,,,,
1385,8823868,23.876,sp,1.389,1.125,,,,,,,,,
1386,8841616,1.68,ev,,,,,,,,,,,
1387,8842170,0.349,ev,,,,,,,,,,,
1388,8845026,66.468,sp,3.821,0.409,4.272,4.337,,,0.022,0.057,0.052,0.052,b
1389,8845221,5.403,ev,,,,,,,,,,,
1390,8846978,1.379,ev,,,,,,,,,,,
1391,8848104,0.825,sp,0.817,1.223,0.823,0.826,,,0.145,0.128,,,
1392,8848271,9.992,sp,13.977,0.872,13.575,14.377,14.79,15.733,0.069,0.04,0.021,0.025,
1393,8848288,5.566,np,50.062,0.196,,,,,,,,,a
1394,8868364,421.428,np,40.418,0.218,,,,,,,,,a
1395,8868649,4.447,np,151.229,0.099,,,,,,,,,a
1396,8868650,4.447,ev,,,,,,,,,,,
1397,8868907,157.324,np,156.869,0.68,,,,,,,,,a
1398,8869680,7.034,np,80.713,0.042,,,,,,,,,a
1399,8878681,2.496,ev,,,,,,,,,,,
1400,8879427,16.313,sp,9.706,1.322,9.571,9.968,,,0.091,0.147,,,
1401,8879915,3.443,sp,3.78,1.241,,,,,,,,,
1402,8891278,12.719,sp,12.26,0.401,,,,,,,,,
1403,8892720,61.491,np,62.139,0.64,,,,,,,,,a
1404,8892910,10.81,ev,,,,,,,,,,,
1405,8893936,4.244,ev,,,,,,,,,,,
1406,8904448,0.866,ev,,,,,,,,,,,
1407,8906039,2.347,ev,,,,,,,,,,,
1408,8906676,8.21,sp,16.081,0.259,15.442,16.273,,,0.01,0.006,0.009,0.009,
1409,8913061,1.02,ev,,,,,,,,,,,
1410,8935352,10.909,sp,10.83,1.289,,,,,,,,,
1411,8937019,5.664,np,19.923,0.495,,,,,,,,,a
1412,8938628,6.862,sp,20.413,0.437,19.304,21.993,23.095,27.783,0.029,0.017,0.011,0.007,
1413,8939650,3.655,sp,3.617,1.233,3.578,3.604,,,0.173,0.101,,,
1414,8940961,3.167,sp,3.106,1.071,,,,,,,,,
1415,8948424,5.889,np,5.619,0.81,,,,,,,,,a
1416,8949316,0.604,sp,0.613,0.569,,,,,,,,,
1417,8953059,5.5,sp,5.333,1.217,5.23,5.443,,,0.057,0.101,,,
1418,8953257,3.222,sp,3.188,1.264,3.158,3.194,,,0.113,0.177,,,
1419,8953296,0.784,ev,,,,,,,,,,,
1420,8953426,5.332,sp,5.272,0.447,5.116,5.443,,,0.055,0.052,,,
1421,8957887,0.347,ev,,,,,,,,,,,
1422,8957954,4.36,sp,4.393,0.788,4.253,4.339,4.739,4.763,0.026,0.084,0.084,0.075,
1423,8971432,0.624,sp,0.633,0.807,0.624,0.625,,,0.323,0.107,,,
1424,8972908,4.2,ce,,,,,,,,,,,
1425,8973000,28.028,sp,12.097,1.166,11.857,12.456,,,0.081,0.048,,,
1426,8977179,3.196,ce,,,,,,,,,,,
1427,8977390,0.653,ev,,,,,,,,,,,
1428,8982501,0.414,ev,,,,,,,,,,,
1429,8982514,0.414,ev,,,,,,,,,,,
1430,8984706,10.135,sp,12.955,0.343,12.482,13.778,14.954,19.54,0.041,0.021,0.007,0.005,
1431,9001468,17.33,sp,7.295,1.233,7.274,7.441,,,0.173,0.128,,,
1432,9002237,4.35,sp,4.434,1.342,4.398,4.417,,,0.099,0.302,,,
1433,9005043,0.32,ev,,,,,,,,,,,
1434,9005854,3.78,sp,3.719,1.479,,,,,,,,,
1435,9007918,1.387,ev,,,,,,,,,,,
1436,9016295,19.974,np,59.523,0.126,,,,,,,,,a
1437,9020426,0.913,sp,0.899,0.778,0.901,0.903,0.913,0.915,0.075,0.106,0.059,0.101,
1438,9021397,0.426,ev,,,,,,,,,,,
1439,9024857,35.027,sp,21.128,0.357,15.214,17.651,19.964,22.854,0.011,0.022,0.011,0.012,
1440,9025914,11.32,sp,6.743,0.442,,,,,,,,,
1441,9026766,0.272,ev,,,,,,,,,,,
1442,9027841,0.504,np,84.186,0.192,,,,,,,,,a
1443,9028474,124.937,np,124.849,0.646,,,,,,,,,a
1444,9029486,6.277,sp,6.968,0.91,6.776,6.899,7.149,7.208,0.174,0.057,0.117,0.078,
1445,9030509,0.402,ev,,,,,,,,,,,
1446,9032671,0.25,ev,,,,,,,,,,,
1447,9032900,67.524,sp,7.417,0.62,7.202,7.332,,,0.021,0.039,,,
1448,9048145,8.668,ev,,,,,,,,,,,
1449,9051723,0.403,ev,,,,,,,,,,,
1450,9053086,1.275,ev,,,,,,,,,,,
1451,9071104,0.385,ev,,,,,,,,,,,
1452,9071386,4.693,ev,,,,,,,,,,,
1453,9075704,0.513,ev,,,,,,,,,,,
1454,9083523,0.918,ev,,,,,,,,,,,
1455,9084778,1.184,sp,1.185,0.821,,,,,,,,,
1456,9087918,0.446,ev,,,,,,,,,,,
1457,9091810,0.48,ev,,,,,,,,,,,
1458,9097120,23.9,np,96.855,0.021,,,,,,,,,a
1459,9098590,2.244,sp,2.227,1.119,2.211,2.216,,,0.086,0.104,,,
1460,9098810,8.258,sp,7.703,1.308,,,,,,,,,
1461,9101279,1.811,ev,,,,,,,,,,,
1462,9101400,1.658,ev,,,,,,,,,,,
1463,9108058,2.175,ev,,,,,,,,,,,
1464,9110213,0.337,ev,,,,,,,,,,,
1465,9110346,1.791,sp,1.778,1.38,,,,,,,,,
1466,9117416,20.035,np,15.816,0.253,,,,,,,,,a
1467,9119405,18.646,np,92.953,0.491,,,,,,,,,a
1468,9119652,2.216,sp,2.186,1.616,,,,,,,,,
1469,9137992,1.47,sp,1.471,1.196,1.467,1.475,,,0.097,0.073,,,
1470,9140402,2.494,np,130.734,0.006,,,,,,,,,a
1471,9142964,0.589,ev,,,,,,,,,,,
1472,9143254,2.275,sp,2.268,1.243,2.265,2.271,,,0.205,0.384,,,
1473,9145707,0.321,ev,,,,,,,,,,,
1474,9149789,0.705,np,109.933,0.006,,,,,,,,,a
1475,9151972,0.387,ev,,,,,,,,,,,
1476,9153621,305.82,np,75.604,0.083,,,,,,,,,a
1477,9159301,3.045,ev,,,,,,,,,,,
1478,9163674,1.546,ev,,,,,,,,,,,
1479,9164561,1.267,ev,,,,,,,,,,,
1480,9164694,1.111,ev,,,,,,,,,,,
1481,9164836,48.119,np,47.651,0.662,,,,,,,,,a
1482,9166862,3.856,np,33.286,0.146,,,,,,,,,a
1483,9172506,50.44,np,100.697,0.669,,,,,,,,,a
1484,9178185,2.993,sp,3.412,1.16,3.391,3.438,,,0.07,0.033,,,
1485,9179531,6.511,np,19.432,0.175,,,,,,,,,a
1486,9179806,0.281,ev,,,,,,,,,,,
1487,9180282,3.038,ce,,,,,,,,,,,
1488,9181877,0.321,ev,,,,,,,,,,,
1489,9205993,1.22,ev,,,,,,,,,,,
1490,9207508,2.015,ev,,,,,,,,,,,
1491,9210828,1.656,sp,1.655,1.266,1.642,1.657,,,0.261,0.107,,,
1492,9214712,265.301,np,18.227,0.175,,,,,,,,,a
1493,9214715,265.3,np,18.084,0.17,,,,,,,,,a
1494,9220600,0.979,ev,,,,,,,,,,,
1495,9221398,13.788,sp,13.772,1.298,,,,,,,,,
1496,9236858,2.537,pux,,,,,,,,,,,
1497,9237149,0.526,ev,,,,,,,,,,,
