,KIC,Porb,Class,PACF,hACF,P1min,P1max,P2min,P2max,h1min,h1max,h2min,h2max,Note
1681,9821151,8.429,sp,15.856,0.563,13.049,17.049,18.746,20.967,0.014,0.027,0.013,0.018,
1682,9827149,2.132,np,31.979,0.112,,,,,,,,,a
1683,9832545,1.021,ev,,,,,,,,,,,
1684,9833618,1.409,ev,,,,,,,,,,,
1685,9833806,0.393,ev,,,,,,,,,,,
1686,9834257,15.651,np,59.952,0.42,,,,,,,,,a
1687,9834719,3.243,sp,3.208,1.383,,,,,,,,,
1688,9837083,0.623,np,0.572,0.057,,,,,,,,,a
1689,9837544,71.662,np,71.988,0.656,,,,,,,,,a
1690,9837578,20.734,np,31.693,0.229,,,,,,,,,a
1691,9838060,23.816,sp,10.769,1.236,10.627,10.851,,,0.241,0.112,,,
1692,9838975,18.693,np,15.448,0.144,,,,,,,,,a
1693,9839062,424.615,np,2.146,0.48,,,,,,,,,a
1694,9839081,2.559,sp,2.575,1.569,,,,,,,,,
1695,9840412,0.878,ev,,,,,,,,,,,
1696,9842890,4.988,np,12.465,0.037,,,,,,,,,a
1697,9842906,4.989,np,8.991,0.013,,,,,,,,,a
1698,9843435,1.685,ev,,,,,,,,,,,
1699,9846348,26.893,np,9.665,0.292,,,,,,,,,a
1700,9847239,28.508,sp,10.993,0.93,10.811,11.905,,,0.076,0.047,,,
1701,9850387,2.749,pux,,,,,,,,,,,
1702,9851142,8.48,ot,,,,,,,,,,,
1703,9851943,2.164,np,34.554,0.12,,,,,,,,,a
1704,9851944,2.164,ev,,,,,,,,,,,
1705,9873869,4.995,sp,5.19,0.448,5.117,5.256,5.802,,0.01,0.008,0.051,,
1706,9880467,8.973,sp,16.817,1.188,16.488,17.83,,,0.118,0.064,,,
1707,9881258,4.057,sp,4.005,0.891,,,,,,,,,
1708,9882280,0.289,ev,,,,,,,,,,,
1709,9886224,2.993,sp,3.412,1.214,3.386,3.5,,,0.191,0.081,,,
1710,9886255,105.961,np,41.072,0.407,,,,,,,,,a
1711,9892471,8.268,sp,9.481,1.445,9.411,9.698,,,0.349,0.134,,,
1712,9895004,2.251,sp,15.203,0.588,14.928,17.597,18.489,19.65,0.032,0.022,0.018,0.013,
1713,9895709,1.819,np,29.445,0.017,,,,,,,,,a
1714,9896435,18.077,sp,28.117,0.794,25.894,31.308,,,0.173,0.187,,,
1715,9897710,0.426,ev,,,,,,,,,,,
1716,9898364,7.132,pux,,,,,,,,,,,
1717,9899181,1.333,ot,,,,,,,,,,,
1718,9899345,1.333,np,5.354,0.275,,,,,,,,,a
1719,9899416,1.333,ev,,,,,,,,,,,
1720,9902856,271.826,np,25.726,0.032,,,,,,,,,a
1721,9904059,102.966,np,3.331,0.031,,,,,,,,,a
1722,9906590,1.686,ev,,,,,,,,,,,
1723,9907505,39.207,np,38.824,0.551,,,,,,,,,a
1724,9911112,2.334,ev,,,,,,,,,,,
1725,9912977,1.888,ev,,,,,,,,,,,
1726,9913481,7.009,ev,,,,,,,,,,,
1727,9934208,9.058,sp,12.403,1.207,12.376,12.773,,,0.174,0.125,,,
1728,9935245,0.785,ev,,,,,,,,,,,
1729,9936698,5.712,sp,6.314,0.211,6.464,6.635,6.847,,0.038,0.112,0.056,,
1730,9940565,4.279,sp,4.495,1.164,4.202,4.249,4.843,,0.043,0.087,0.218,,
1731,9941387,27.66,sp,27.013,0.931,24.586,26.846,,,0.015,0.032,,,
1732,9944201,0.722,sp,0.715,0.889,,,,,,,,,
1733,9944421,7.095,sp,6.518,1.505,,,,,,,,,
1734,9944907,0.613,ev,,,,,,,,,,,
1735,9945280,1.303,sp,1.287,1.459,1.284,1.286,1.305,1.308,0.091,0.183,0.234,0.106,
1736,9947924,0.363,ev,,,,,,,,,,,
1737,9948002,101.263,np,101.146,0.837,,,,,,,,,a
1738,9953894,1.383,ev,,,,,,,,,,,
1739,9954225,1.341,ev,,,,,,,,,,,
1740,9955262,77.48,pux,,,,,,,,,,,
1741,9957351,0.496,ev,,,,,,,,,,,
1742,9957411,0.375,ev,,,,,,,,,,,
1743,9957659,30.695,np,8.705,0.013,,,,,,,,,a
1744,9957668,30.695,np,92.033,1.067,,,,,,,,,a
1745,9962595,11.374,sp,10.156,1.219,,,,,,,,,
1746,9963009,40.07,np,39.478,0.442,,,,,,,,,a
1747,9963461,10.582,sp,3.944,0.941,3.906,4.029,,,0.05,0.088,,,
1748,9965206,16.228,np,24.705,0.236,,,,,,,,,a
1749,9966115,8.947,sp,11.116,0.242,,,,,,,,,
1750,9967884,5.428,sp,5.354,1.106,5.111,5.186,5.715,5.789,0.079,0.051,0.084,0.071,
1751,9970396,235.299,np,22.743,0.008,,,,,,,,,a
1752,9970937,4.877,ev,,,,,,,,,,,
1753,9971475,5.357,sp,1.962,0.609,1.98,1.992,,,0.087,0.095,,,
1754,9994475,0.318,ev,,,,,,,,,,,
1755,9995660,0.419,ev,,,,,,,,,,,
1756,10000490,1.401,ev,,,,,,,,,,,
1757,10001167,120.391,pux,,,,,,,,,,,
1758,10002261,12.714,np,101.33,0.302,,,,,,,,,a
1759,10006096,70.516,sp,21.741,0.555,19.918,25.115,,,0.026,0.02,0.056,0.056,
1760,10007533,0.648,ev,,,,,,,,,,,
1761,10014536,1.009,ce,,,,,,,,,,,
1762,10014830,3.031,ev,,,,,,,,,,,
1763,10015516,67.692,np,69.699,0.416,,,,,,,,,a
1764,10019399,11.806,sp,11.525,0.977,10.912,12.045,,,0.113,0.04,,,
1765,10019763,32.505,sp,21.026,0.546,15.32,16.885,19.454,25.043,0.007,0.012,0.012,0.007,
1766,10020423,7.448,sp,7.765,1.478,,,,,,,,,
1767,10024144,0.816,ev,,,,,,,,,,,
1768,10026136,9.08,np,17.88,0.048,,,,,,,,,a
1769,10026457,9.934,np,15.346,0.068,,,,,,,,,a
1770,10028352,1.387,ev,,,,,,,,,,,
1771,10030778,29.473,np,6.375,0.011,,,,,,,,,a
1772,10031409,4.144,sp,4.046,0.082,4.046,4.216,,,0.014,0.008,0.018,0.018,
1773,10031808,8.59,pu,,,,,,,,,,,
1774,10032935,0.321,ev,,,,,,,,,,,
1775,10033279,72.491,np,14.569,0.029,,,,,,,,,a
1776,10063044,1.01,ev,,,,,,,,,,,
1777,10068030,2.023,np,1.982,0.32,,,,,,,,,a
1778,10068383,7.305,sp,8.623,1.593,8.486,8.904,,,0.225,0.132,,,
1779,10068919,43.562,sp,4.618,0.678,4.522,4.754,7.356,7.457,0.024,0.024,0.053,0.076,
1780,10074700,365.65,np,176.281,0.149,,,,,,,,,a
1781,10074939,0.277,ev,,,,,,,,,,,
1782,10083623,1.279,np,1.267,0.423,,,,,,,,,a
1783,10090246,2.286,ev,,,,,,,,,,,
1784,10091257,3.404,sp,3.392,1.3,3.336,3.396,,,0.131,0.101,,,
1785,10091703,710.5,sp,21.292,1.002,19.896,21.775,,,0.106,0.266,,,
1786,10095469,0.678,ev,,,,,,,,,,,
1787,10095512,6.017,sp,6.539,0.28,6.845,6.893,,,0.152,0.098,,,
1788,10128961,0.348,ev,,,,,,,,,,,
1789,10129482,0.846,sp,0.838,0.909,0.845,0.846,,,0.353,0.148,,,
1790,10152836,220.93,np,28.955,0.161,,,,,,,,,a
1791,10153011,83.098,np,6.6,0.03,,,,,,,,,a
1792,10154189,0.411,ev,,,,,,,,,,,
1793,10155080,3.861,sp,3.944,0.804,3.932,4.005,,,0.07,0.075,,,
1794,10156064,4.856,ev,,,,,,,,,,,
1795,10157573,5.116,sp,5.047,1.034,4.941,4.999,5.083,5.198,0.034,0.024,0.031,0.027,
1796,10158418,5.007,sp,4.536,1.328,4.488,4.549,,,0.33,0.122,,,
1797,10186945,0.794,np,36.494,0.428,,,,,,,,,a
1798,10189523,1.014,sp,1.022,1.331,1.01,1.016,,,0.17,0.117,,,
1799,10191056,2.427,ev,,,,,,,,,,,
1800,10191070,1.214,np,93.443,0.018,,,,,,,,,a
1801,10198097,2.815,ev,,,,,,,,,,,
1802,10198109,17.919,sp,21.067,0.386,,,,,,,,,
1803,10206340,4.564,ev,,,,,,,,,,,
1804,10208759,4.575,ev,,,,,,,,,,,
1805,10215422,24.847,sp,25.338,0.816,24.83,27.054,,,0.243,0.084,,,
1806,10215869,5.017,sp,5.006,0.611,4.62,4.878,4.967,5.3,0.064,0.112,0.11,0.133,
1807,10216186,0.606,ev,,,,,,,,,,,
1808,10223616,29.125,sp,17.737,0.957,16.426,19.65,,,0.045,0.049,,,
1809,10225800,1.424,np,23.662,0.298,,,,,,,,,a
1810,10226388,0.661,ev,,,,,,,,,,,
1811,10227863,5.14,np,4.965,0.06,,,,,,,,,a
1812,10228240,2.173,ev,,,,,,,,,,,
1813,10228942,21.025,np,20.986,0.627,,,,,,,,,a
1814,10229723,0.629,ev,,,,,,,,,,,
1815,10232123,1.344,sp,1.349,1.104,1.341,1.344,,,0.186,0.265,,,
1816,10253375,0.375,ev,,,,,,,,,,,
1817,10253421,0.428,ev,,,,,,,,,,,
1818,10255110,0.337,ev,,,,,,,,,,,
1819,10257903,0.859,sp,0.858,0.973,0.85,0.855,0.858,0.862,0.05,0.022,0.055,0.026,
1820,10258558,20.868,np,92.013,0.122,,,,,,,,,a
1821,10259029,7.061,sp,6.314,1.24,6.312,6.411,,,0.266,0.12,,,
1822,10259301,244.833,np,34.369,0.008,,,,,,,,,a
1823,10259530,0.707,ev,,,,,,,,,,,
1824,10264202,1.035,sp,1.022,0.585,1.032,1.036,,,0.061,0.079,0.02,0.02,
1825,10265602,165.345,np,76.544,0.01,,,,,,,,,a
1826,10267044,0.43,ev,,,,,,,,,,,
1827,10268809,24.709,sp,20.474,0.465,,,,,,,,,
1828,10268903,1.104,sp,1.103,1.097,,,,,,,,,
1829,10274218,1.764,ev,,,,,,,,,,,
1830,10274244,13.684,sp,20.209,1.093,19.454,21.802,,,0.034,0.057,,,
1831,10275074,4.363,sp,4.393,0.755,,,,,,,,,
1832,10275197,0.391,ev,,,,,,,,,,,
1833,10275747,0.662,ev,,,,,,,,,,,
1834,10275887,9.727,ev,,,,,,,,,,,
1835,10285661,0.308,ev,,,,,,,,,,,
1836,10287248,4.722,sp,2.942,0.93,2.919,2.976,,,0.081,0.189,,,
1837,10291683,2.044,ev,,,,,,,,,,,
1838,10292238,143.119,np,21.374,0.361,,,,,,,,,a
1839,10292413,0.559,ev,,,,,,,,,,,
1840,10292465,1.353,sp,1.349,1.22,1.332,1.342,1.347,1.356,0.034,0.083,0.092,0.083,
1841,10294608,3.709,sp,3.699,1.344,3.656,3.669,,,0.178,0.321,,,
1842,10295951,6.811,ev,,,,,,,,,,,
1843,10296163,9.297,ot,,,,,,,,,,,
1844,10319590,21.32,np,63.875,0.521,,,,,,,,,a
1845,10320341,30.115,np,150.78,0.702,,,,,,,,,a
1846,10322296,0.315,ev,,,,,,,,,,,
1847,10330495,18.06,sp,21.966,1.124,21.144,23.466,,,0.079,0.064,,,
1848,10332789,18.741,np,19.453,0.484,,,,,,,,,a
1849,10338279,5.66,sp,5.538,0.795,,,,,,,,,
1850,10341913,1.867,np,56.029,0.067,,,,,,,,,a
1851,10342041,1.867,ev,,,,,,,,,,,
1852,10345478,14.498,np,53.087,0.016,,,,,,,,,a
1853,10345862,58.288,np,58.215,0.491,,,,,,,,,a
1854,10346522,3.989,ev,,,,,,,,,,,
1855,10351767,0.635,sp,0.633,0.393,,,,,,,,,
1856,10352603,32.779,np,75.176,0.092,,,,,,,,,a
1857,10352938,6.472,sp,6.416,1.051,6.308,6.658,,,0.153,0.142,,,
1858,10363300,0.935,ev,,,,,,,,,,,
1859,10383620,0.735,ev,,,,,,,,,,,
1860,10383696,8.488,np,101.698,0.105,,,,,,,,,a
1861,10384962,2.879,sp,3.106,1.448,3.074,3.096,,,0.134,0.087,,,
1862,10385682,6.207,sp,6.212,0.585,6.072,6.12,6.365,6.407,0.034,0.021,0.11,0.047,
1863,10389596,2.609,ev,,,,,,,,,,,
1864,10389809,0.397,ev,,,,,,,,,,,
1865,10389982,0.444,ev,,,,,,,,,,,
1866,10395202,0.306,ev,,,,,,,,,,,
1867,10395543,3.687,sp,46.813,0.558,,,,,,,,,
1868,10395609,0.364,ev,,,,,,,,,,,
1869,10407221,0.934,sp,14.896,1.174,14.413,15.096,,,0.063,0.125,,,
1870,10418797,23.355,np,20.761,0.19,,,,,,,,,a
1871,10419211,11.521,np,66.9,0.079,,,,,,,,,a
1872,10420279,45.433,np,33.328,0.086,,,,,,,,,a
1873,10422852,1.399,sp,1.41,0.577,1.377,1.387,1.411,1.429,0.038,0.049,0.046,0.059,
1874,10447902,0.337,ev,,,,,,,,,,,
1875,10454401,12.181,sp,12.281,1.055,12.012,12.554,,,0.07,0.113,,,
1876,10454725,0.832,ev,,,,,,,,,,,
1877,10462826,50.467,np,151.433,0.457,,,,,,,,,a
1878,10464078,19.404,sp,52.596,1.588,,,,,,,,,
1879,10464666,131.734,sp,25.419,0.86,23.126,26.481,,,0.044,0.101,,,
1880,10468514,0.425,ev,,,,,,,,,,,
1881,10480952,4.075,ev,,,,,,,,,,,
1882,10480982,19.221,np,18.411,0.48,,,,,,,,,a
1883,10481912,0.442,ev,,,,,,,,,,,
1884,10483644,5.111,sp,5.824,1.074,,,,,,,,,
1885,10485069,0.445,np,4.863,0.007,,,,,,,,,a
1886,10485137,0.445,ev,,,,,,,,,,,
1887,10485250,16.47,sp,21.251,1.353,20.867,22.387,,,0.182,0.136,,,
1888,10486425,5.275,pu,,,,,,,,,,,
1889,10487119,6.749,sp,6.845,0.999,6.794,7.057,,,0.468,0.269,,,
1890,10489521,3.225,sp,3.412,0.255,3.17,3.257,3.511,3.573,0.036,0.012,0.037,0.109,
1891,10489539,19.764,sp,9.011,0.376,8.211,10.124,10.443,11.127,0.014,0.01,0.008,0.011,
1892,10490960,5.682,sp,5.435,0.32,5.476,5.613,,,0.052,0.112,,,
1893,10491031,4.398,ev,,,,,,,,,,,
1894,10491544,22.772,np,22.457,0.553,,,,,,,,,a
1895,10491554,22.772,np,22.457,0.375,,,,,,,,,a
1896,10514770,1.872,np,1.859,0.587,,,,,,,,,a
1897,10518735,19.515,sp,12.301,0.997,,,,,,,,,
1898,10528299,0.4,ev,,,,,,,,,,,
1899,10534155,4.327,sp,4.536,1.404,4.501,4.568,,,0.077,0.117,,,
1900,10535807,1.482,ev,,,,,,,,,,,
1901,10544976,0.35,ev,,,,,,,,,,,
1902,10547209,2.254,ev,,,,,,,,,,,
1903,10547685,2.777,sp,2.738,1.224,2.719,2.731,2.796,,0.31,0.098,0.124,,
1904,10549576,9.089,pu,,,,,,,,,,,
1905,10551346,1.428,sp,1.451,1.332,1.422,1.428,1.479,1.482,0.156,0.058,0.179,0.087,
1906,10555365,5.802,sp,7.336,1.028,7.138,7.31,,,0.122,0.348,,,
1907,10556578,1.253,sp,1.246,1.105,1.237,1.248,1.249,1.257,0.036,0.038,0.064,0.058,
1908,10557008,0.265,ev,,,,,,,,,,,
1909,10581918,1.802,ev,,,,,,,,,,,
1910,10583180,2.696,np,118.638,0.036,,,,,,,,,a
1911,10583181,2.696,ev,,,,,,,,,,,
1912,10583225,2.696,np,35.534,0.021,,,,,,,,,a
1913,10586874,0.535,ev,,,,,,,,,,,
1914,10592163,14.763,np,123.644,0.187,,,,,,,,,a
1915,10593759,6.265,sp,6.151,1.292,6.137,6.176,,,0.254,0.106,,,
1916,10596883,0.469,ev,,,,,,,,,,,
1917,10599397,0.937,sp,0.94,1.364,0.935,0.936,,,0.421,0.253,,,
1918,10601549,1.464,sp,1.451,1.32,1.44,1.442,,,0.343,0.123,,,
1919,10601579,8.099,ev,,,,,,,,,,,
1920,10602291,20.927,sp,17.103,0.761,16.918,17.44,,,0.073,0.07,,,
1921,10613718,1.176,sp,13.078,0.993,12.482,13.327,,,0.104,0.25,,,
1922,10614158,8.925,sp,8.889,1.635,8.864,9.151,,,0.825,0.29,,,
1923,10616571,23.673,sp,12.975,1.368,12.727,13.217,,,0.227,0.366,,,
1924,10616656,25.285,sp,24.95,0.516,,,,,,,,,
1925,10616829,1.073,ev,,,,,,,,,,,
1926,10618253,0.437,ev,,,,,,,,,,,
1927,10619109,2.045,ev,,,,,,,,,,,
1928,10651945,25.367,np,20.086,0.055,,,,,,,,,a
1929,10656508,124.036,np,176.26,0.105,,,,,,,,,a
1930,10657664,3.274,ev,,,,,,,,,,,
1931,10659313,15.249,sp,6.723,0.908,6.58,6.845,7.173,,0.041,0.015,0.137,,
1932,10661783,1.231,ev,,,,,,,,,,,
1933,10666230,1.578,np,14.099,0.034,,,,,,,,,a
1934,10666242,87.239,np,87.967,0.08,,,,,,,,,a
1935,10676927,1.031,sp,1.022,0.965,1.016,1.026,1.034,,0.133,0.12,0.321,,
1936,10677186,100.401,np,100.208,0.388,,,,,,,,,a
1937,10680475,0.35,ev,,,,,,,,,,,
1938,10686876,2.618,ev,,,,,,,,,,,
1939,10710755,4.817,sp,4.884,1.542,,,,,,,,,
1940,10711551,10.692,sp,10.789,0.493,10.692,11.008,11.529,11.946,0.081,0.025,0.018,0.011,
1941,10711646,0.738,sp,0.736,1.104,0.737,0.738,,,0.185,0.189,,,
1942,10711913,19.408,sp,18.697,0.703,18.607,19.739,,,0.142,0.06,,,
1943,10723143,0.308,ev,,,,,,,,,,,
1944,10724533,0.745,ev,,,,,,,,,,,
1945,10727655,0.353,ev,,,,,,,,,,,
1946,10727668,2.306,ev,,,,,,,,,,,
1947,10728219,3.372,sp,3.433,1.059,,,,,,,,,
1948,10735331,213.399,np,4.536,0.302,,,,,,,,,a
1949,10735519,0.907,np,1.676,0.106,,,,,,,,,a
1950,10735564,1.675,ev,,,,,,,,,,,
1951,10735988,1.927,sp,1.921,1.358,,,,,,,,,
1952,10736223,1.105,ev,,,,,,,,,,,
1953,10737574,0.366,ev,,,,,,,,,,,
1954,10743597,81.195,sp,24.459,0.377,22.618,26.846,,,0.041,0.046,,,
1955,10743600,0.817,ev,,,,,,,,,,,
1956,10748621,286.18,np,91.421,0.226,,,,,,,,,a
1957,10751515,56.406,sp,28.403,0.517,,,,,,,,,
1958,10753734,19.407,sp,8.889,0.685,8.654,8.788,9.014,9.326,0.129,0.042,0.121,0.097,
1959,10794242,7.144,sp,6.968,1.483,,,,,,,,,
1960,10794405,0.952,np,24.418,0.594,23.529,24.415,28.368,,0.043,0.09,0.05,,a
1961,10796477,0.485,ev,,,,,,,,,,,
1962,10797126,0.432,ev,,,,,,,,,,,
1963,10798605,56.048,np,110.423,0.31,,,,,,,,,a
1964,10798838,62.128,sp,22.681,0.58,16.441,20.055,21.614,24.179,0.009,0.008,0.023,0.019,
1965,10799735,37.59,np,36.842,0.306,,,,,,,,,a
1966,10802917,0.272,ev,,,,,,,,,,,
1967,10809677,7.042,np,1.696,0.042,,,,,,,,,a
1968,10816107,2.162,sp,2.146,1.044,2.116,2.121,2.16,2.191,0.188,0.248,0.06,0.032,
1969,10844279,0.623,ev,,,,,,,,,,,
1970,10845188,249.362,np,193.69,0.12,,,,,,,,,a
1971,10847118,0.294,ev,,,,,,,,,,,
1972,10848459,3.474,sp,3.453,1.151,,,,,,,,,
1973,10848807,0.346,ev,,,,,,,,,,,
1974,10849244,24.262,np,145.201,0.063,,,,,,,,,a
1975,10854621,0.376,ev,,,,,,,,,,,
1976,10857342,2.416,ev,,,,,,,,,,,
1977,10857519,2.053,sp,8.623,0.607,8.001,8.552,8.74,10.248,0.009,0.006,0.012,0.021,
1978,10857589,32.533,np,97.652,0.498,,,,,,,,,a
1979,10858117,606.11,np,48.448,0.478,,,,,,,,,a
1980,10858720,0.952,ev,,,,,,,,,,,
1981,10861842,0.472,ev,,,,,,,,,,,
1982,10874226,11.974,np,5.946,0.022,,,,,,,,,a
1983,10874926,11.703,sp,16.674,0.456,14.752,17.74,18.392,22.706,0.015,0.023,0.021,0.011,
1984,10877703,0.437,ev,,,,,,,,,,,
1985,10879213,1.337,sp,1.328,0.652,1.33,1.345,,,0.15,0.069,,,
1986,10880490,0.298,ev,,,,,,,,,,,
1987,10904857,3.121,sp,4.005,1.474,3.845,3.86,4.161,4.18,0.118,0.106,0.148,0.062,
1988,10905804,0.751,ev,,,,,,,,,,,
1989,10909274,39.238,np,196.182,0.003,,,,,,,,,a
1990,10916675,0.419,ev,,,,,,,,,,,
1991,10919564,0.462,np,0.45,0.374,,,,,,,,,a
1992,10920086,3.213,ev,,,,,,,,,,,
1993,10920314,0.505,ev,,,,,,,,,,,
1994,10920813,53.741,np,53.74,0.83,,,,,,,,,a
1995,10923260,7.436,sp,4.598,1.138,4.553,4.72,,,0.087,0.037,,,
1996,10924462,0.375,ev,,,,,,,,,,,
1997,10924853,4.205,np,37.537,0.058,,,,,,,,,a
1998,10925104,8.041,sp,34.492,0.618,28.693,35.068,,,0.032,0.101,,,
1999,10934755,0.786,ev,,,,,,,,,,,
2000,10935310,4.129,sp,3.985,0.879,3.945,3.959,,,0.12,0.213,,,
2001,10936427,14.361,sp,16.919,0.816,16.644,17.794,,,0.304,0.21,,,
2002,10937609,2.57,ev,,,,,,,,,,,
2003,10960995,3.117,sp,3.085,0.934,3.039,3.146,,,0.042,0.045,,,
2004,10963242,6.147,np,3.985,0.023,,,,,,,,,a
2005,10965091,0.236,ev,,,,,,,,,,,
2006,10965963,6.64,sp,6.437,0.658,6.225,6.64,,,0.067,0.042,,,
2007,10972830,0.678,pux,,,,,,,,,,,
2008,10973583,6.256,np,22.313,1.218,,,,,,,,,a
2009,10979716,10.684,sp,13.486,1.397,,,,,,,,,
2010,10987439,10.675,sp,13.548,0.369,13.327,14.678,,,0.179,0.092,,,
2011,10989032,2.305,ev,,,,,,,,,,,
2012,10991989,0.974,sp,0.96,0.418,0.961,0.963,0.971,0.98,0.02,0.048,0.039,0.029,
2013,10992733,18.526,sp,15.468,0.668,15.634,15.904,,,0.118,0.267,,,
2014,11012801,0.367,ev,,,,,,,,,,,
2015,11013201,0.227,ev,,,,,,,,,,,
2016,11017077,0.709,ev,,,,,,,,,,,
2017,11021252,3.269,sp,3.228,1.248,3.171,3.271,,,0.067,0.081,,,
2018,11027722,0.678,np,8.807,0.019,,,,,,,,,a
2019,11042923,0.39,ev,,,,,,,,,,,
2020,11044779,15.609,sp,9.073,1.33,8.909,9.252,,,0.315,0.101,,,
2021,11045383,41.167,sp,21.823,0.442,21.221,23.915,,,0.115,0.123,,,
2022,11069176,15.38,sp,14.998,0.935,14.111,16.079,,,0.041,0.042,,,
2023,11071207,8.05,np,15.795,0.024,,,,,,,,,a
2024,11073223,11.579,sp,6.886,0.733,6.752,6.967,7.164,7.247,0.056,0.054,0.037,0.044,
2025,11076176,0.7,sp,0.695,0.643,,,,,,,,,
2026,11076279,1.473,ev,,,,,,,,,,,
2027,11084647,0.312,ev,,,,,,,,,,,
2028,11084782,0.587,ev,,,,,,,,,,,
2029,11086270,12.691,np,25.052,0.18,,,,,,,,,a
2030,11091082,0.385,ev,,,,,,,,,,,
2031,11097678,1.0,ev,,,,,,,,,,,
2032,11099351,2.378,sp,2.35,1.233,2.35,2.367,2.378,2.389,0.34,0.106,0.042,0.102,
2033,11100657,8.344,sp,10.38,1.249,,,,,,,,,
2034,11124509,8.893,sp,12.342,0.862,11.522,11.905,14.508,,0.09,0.043,0.1,,
2035,11125936,2.672,np,13.404,0.065,,,,,,,,,a
2036,11134079,1.261,sp,1.267,1.411,1.253,1.256,1.262,1.267,0.082,0.098,0.06,0.042,
2037,11135978,0.292,ev,,,,,,,,,,,
2038,11138155,4.959,np,21.844,0.016,,,,,,,,,a
2039,11144556,0.643,ev,,,,,,,,,,,
2040,11147276,3.133,sp,3.085,1.318,3.052,3.106,,,0.089,0.075,,,
2041,11147460,4.108,sp,4.536,0.029,0.729,0.73,0.835,0.838,0.004,0.001,0.001,0.001,b
2042,11147814,95.178,np,94.505,0.51,,,,,,,,,a
2043,11154110,0.53,ev,,,,,,,,,,,
2044,11175495,2.191,ev,,,,,,,,,,,
2045,11180361,0.533,pux,,,,,,,,,,,
2046,11182260,1.292,sp,1.287,1.318,1.285,1.294,,,0.413,0.186,,,
2047,11187837,17.605,sp,39.478,1.068,,,,,,,,,
2048,11189127,2.672,sp,2.656,1.484,2.624,2.649,,,0.083,0.053,,,
2049,11193447,0.626,sp,0.633,0.713,,,,,,,,,
2050,11197126,4.495,np,49.449,0.041,,,,,,,,,a
2051,11197853,0.698,np,40.459,0.051,,,,,,,,,a
2052,11198068,0.4,ev,,,,,,,,,,,
2053,11198723,6.84,sp,7.254,1.03,6.837,7.283,8.722,,0.037,0.028,0.069,,
2054,11200405,4.64,sp,4.924,1.1,,,,,,,,,
2055,11200773,2.49,sp,2.472,0.981,2.463,2.496,,,0.11,0.072,,,
2056,11228612,2.98,sp,2.963,1.018,2.946,2.953,,,0.236,0.105,,,
2057,11230837,0.446,ev,,,,,,,,,,,
2058,11231334,4.157,sp,3.106,0.663,2.91,2.932,4.147,4.165,0.137,0.044,0.167,0.06,
2059,11232745,9.634,sp,13.037,1.01,12.727,13.481,,,0.074,0.091,,,
2060,11233911,4.96,sp,4.843,1.003,4.772,4.848,,,0.058,0.119,,,
2061,11234677,1.587,sp,1.594,0.375,1.584,1.588,1.609,1.63,0.027,0.08,0.025,0.014,
2062,11235323,19.668,sp,23.826,0.641,,,,,,,,,
2063,11236035,2.319,ev,,,,,,,,,,,
2064,11241814,227.664,np,4.598,0.054,,,,,,,,,a
2065,11242721,19.651,np,20.372,0.016,,,,,,,,,a
2066,11245381,0.307,ev,,,,,,,,,,,
2067,11246163,0.279,ev,,,,,,,,,,,
2068,11247386,0.394,ev,,,,,,,,,,,
2069,11249624,65.584,np,66.103,0.62,,,,,,,,,a
2070,11250867,2.253,sp,2.227,1.022,2.208,2.22,,,0.195,0.085,,,
2071,11252617,4.478,sp,4.495,1.118,4.48,4.53,,,0.193,0.068,,,
2072,11255761,4.993,np,39.273,0.008,,,,,,,,,a
2073,11285136,2.368,sp,2.697,1.393,,,,,,,,,
2074,11285625,10.79,pu,,,,,,,,,,,
2075,11287726,4.738,sp,4.659,1.226,,,,,,,,,
2076,11295347,0.888,ev,,,,,,,,,,,
2077,11303526,0.72,ev,,,,,,,,,,,
2078,11303811,1.69,sp,1.696,0.315,,,,,,,,,
2079,11304987,1.385,np,1.369,0.097,,,,,,,,,a
2080,11305087,0.309,ev,,,,,,,,,,,
2081,11341950,0.288,ev,,,,,,,,,,,
2082,11342573,91.056,np,12.485,0.025,,,,,,,,,a
2083,11347875,3.455,sp,3.453,1.432,,,,,,,,,
2084,11350389,1.513,sp,1.512,1.224,1.507,1.512,,,0.177,0.118,,,
2085,11357192,186.517,sp,30.487,0.611,23.498,35.423,,,0.034,0.032,,,
2086,11358392,0.985,sp,0.981,1.413,,,,,,,,,
2087,11359305,28.487,np,56.948,0.971,,,,,,,,,a
2088,11391181,8.617,sp,7.908,1.03,7.886,8.169,,,0.226,0.144,,,
2089,11391667,1.084,sp,1.083,0.562,1.083,1.084,,,0.254,0.158,,,
2090,11391755,25.104,np,4.802,0.012,,,,,,,,,a
2091,11392618,110.93,np,6.457,0.011,,,,,,,,,a
2092,11395117,0.307,ev,,,,,,,,,,,
2093,11395645,0.497,ev,,,,,,,,,,,
2094,11401845,2.161,ev,,,,,,,,,,,
2095,11402381,0.417,ev,,,,,,,,,,,
2096,11403216,4.053,sp,4.046,1.492,4.013,4.032,,,0.173,0.391,,,
2097,11403776,0.402,ev,,,,,,,,,,,
2098,11404644,5.903,sp,5.721,1.226,5.721,5.908,,,0.12,0.04,,,
2099,11404698,0.59,sp,0.593,0.437,,,,,,,,,
2100,11404758,0.351,ev,,,,,,,,,,,
2101,11405559,0.285,ev,,,,,,,,,,,
